Precinct,Reg_Voters,Ballots_Cast,Turnout_Pct,Top_Dems,Top_Reps,Top_Total,Top_Total_Pct,Blueness,Redness,Becerra,Steyer,Hilton,Mahan,Porter,Bianco,Yee,Robinson,Thurmond,Nelson,Villaraigosa,Swalwell,Write-in,Buhler,Rao,Ware,Dhillon,Hernandez,Solórzano,Levy,Woodard,Arif,Young,Shaw,Zacky,Naranjo,Henderson,Zezulak,Cabrera,Culotti,Sarmiento,Bar-Lev,Shields,Grasty,Schultz,Herms,Rab,Zickefoose,Jacob,Athans,Azevedo,Agbede,Safarnejad,DeMott,Barraicua,Martin,Edum-a-Sam,Lapp,Grundmann,Parley,Mercuri,Ahn,Trowe,Loynes,Maupin,Kidgell,Basualdo,Komarovsk,Orozco,Sandak,Fomin,Kellel,Fiankan,Filinski,Meky,Peavy,Dilger,Forbes,Langer,Mahan_Pct,Porter_Pct
9065,2036,610,29.96,330,136,466,76.39,54.1,22.3,182,148,92,34,41,44,7,3,4,1,2,3,4,1,7,4,14,2,1,1,2,2,2,3,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,6.72
9067,2307,883,38.27,507,226,733,83.01,57.42,25.59,267,240,184,63,33,42,5,8,4,3,2,3,2,5,0,2,2,4,1,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7.13,3.74
9072,2068,764,36.94,441,135,576,75.39,57.72,17.67,246,195,99,67,54,36,9,11,6,1,4,4,1,3,3,1,0,1,1,2,0,0,2,1,0,1,1,2,0,0,1,1,0,1,2,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77,7.07
9101,2518,955,37.93,546,208,754,78.95,57.17,21.78,297,249,169,59,43,39,10,6,13,1,2,2,6,2,5,6,9,1,6,0,4,1,2,2,0,5,0,0,1,0,0,0,3,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.18,4.5
9103,2769,1028,37.13,604,232,836,81.32,58.75,22.57,355,249,190,76,48,42,10,2,7,2,2,3,5,4,3,5,0,4,1,2,0,3,0,0,1,1,0,0,4,1,0,0,1,1,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,4.67
9109,2146,769,35.83,450,178,628,81.66,58.52,23.15,232,218,147,61,42,31,2,2,7,3,1,2,1,1,6,1,2,1,2,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.93,5.46
9113,2206,937,42.48,545,216,761,81.22,58.16,23.05,289,256,184,58,49,32,5,4,9,5,4,5,2,3,3,0,2,9,1,0,2,1,0,1,1,1,0,2,0,0,0,0,0,1,1,1,0,0,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19,5.23
9150,2560,928,36.25,541,227,768,82.76,58.3,24.46,263,278,194,45,39,33,8,5,11,5,9,3,4,0,7,2,3,1,4,0,0,1,0,0,1,0,2,0,1,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85,4.2
9151,3215,1080,33.59,612,269,881,81.57,56.67,24.91,331,281,225,54,69,44,10,9,4,3,0,2,8,0,1,7,5,5,2,2,0,2,0,2,0,2,2,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,5.0,6.39
9154,1259,545,43.29,315,148,463,84.95,57.8,27.16,170,145,110,38,28,38,1,3,1,0,1,0,1,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.97,5.14
9158,1926,689,35.77,431,129,560,81.28,62.55,18.72,271,160,103,53,31,26,1,7,5,4,4,2,3,2,1,2,0,0,2,1,3,0,0,1,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,4.5
9164,1899,879,46.29,548,195,743,84.53,62.34,22.18,315,233,165,54,52,30,5,4,2,0,1,1,3,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14,5.92
9203,2257,983,43.55,579,230,809,82.3,58.9,23.4,316,263,190,60,57,40,1,3,2,5,4,0,10,3,0,10,0,3,2,0,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,5.8
9207,1776,752,42.34,451,173,624,82.98,59.97,23.01,273,178,142,44,44,31,4,2,3,0,2,2,5,0,1,3,0,0,2,1,0,6,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.85,5.85
